src,dst,val
 , ,-13.815510557964274
 ,A,-2.377615224663045
 ,B,-4.209308949471165
 ,C,-2.657091235849668
 ,D,-2.15551974589986
 ,E,-2.3343163588811353
 ,F,-3.639390209232691
 ,G,-4.609930517584803
 ,H,-4.928692651204525
 ,I,-3.375438529834523
 ,J,-3.8716380082949087
 ,K,-9.891712322096483
 ,L,-2.4048291293398556
 ,M,-2.9312714347922246
 ,N,-3.5347259757138128
 ,O,-3.8398660039485626
 ,P,-2.511043261220666
 ,Q,-2.9356205366795987
 ,R,-3.6171932659814554
 ,S,-2.6659274587401702
 ,T,-3.571673279150055
 ,U,-3.629579417765723
 ,V,-3.614325105956109
 ,W,-9.694641895563649
 ,X,-9.104135381601145
 ,Y,-5.48326770507588
 ,Z,-8.843848443190412
A, ,-1.8120559544842534
A,A,-11.081352478111675
A,B,-4.164651988691115
A,C,-3.7915437581854534
A,D,-4.834832454603986
A,E,-8.657828031211814
A,F,-6.066670625780721
A,G,-4.042663217308081
A,H,-6.411698765204767
A,I,-1.3557788709576364
A,J,-6.394317521293308
A,K,-11.081352478111675
A,L,-3.405640236831112
A,M,-3.7225113002132195
A,N,-1.934167014749583
A,O,-8.100681727666586
A,P,-3.934686870739317
A,Q,-5.5647489237847525
A,R,-2.6304995739123185
A,S,-3.0835335988866603
A,T,-3.4218220358170988
A,U,-2.7247298272654463
A,V,-2.7919351681547715
A,W,-13.815510557964274
A,X,-9.192722228373091
A,Y,-5.103336428650281
A,Z,-7.813824173729555
B, ,-6.536484477564592
B,A,-2.4863442582193493
B,B,-7.123719409018022
B,C,-13.815510557964274
B,D,-6.6541812848010045
B,E,-1.8810934961810801
B,F,-13.815510557964274
B,G,-13.815510557964274
B,H,-8.728205371175433
B,I,-1.7730972150713415
B,J,-4.745300054562247
B,K,-13.815510557964274
B,L,-1.36164888102879
B,M,-7.6337180029598075
B,N,-13.815510557964274
B,O,-2.0497796561759234
B,P,-13.815510557964274
B,Q,-13.815510557964274
B,R,-1.9431707064629984
B,S,-3.431063332034575
B,T,-5.64307432748441
B,U,-4.080379630228159
B,V,-8.038150284705168
B,W,-13.815510557964274
B,X,-13.815510557964274
B,Y,-8.038150284705168
B,Z,-13.815510557964274
C, ,-2.575441401332062
C,A,-2.688087807400411
C,B,-13.815510557964274
C,C,-4.365489225871629
C,D,-9.377557911037295
C,E,-1.3504484913952746
C,F,-13.815510557964274
C,G,-13.815510557964274
